frame,duration_seconds
01_open_crop.png,2.4
02a_repost_velocity_one.png,1.1
02b_repost_velocity_two.png,1.1
02_repost_velocity_stack.png,1.5
03a_hidden_ui_crop_only.png,1.7
03b_reveal_capture_date.png,1.8
03c_reveal_incident_log.png,1.8
03d_reveal_resolution.png,2.4
04_zoomout_capture_reveal.png,20.0
05_incident_resolution_vs_repost.png,15
06_oiu_rails_overlay.png,16.0
07_claim_scope_composer.png,13
08_was_vs_is_caption_swap.png,12.0
09_dashboard_crop_dip.png,14.0
10_dashboard_range_reveal.png,14.0
11_old_announcement_reveal.png,14.0
12_ten_second_timecheck_workflow.png,16
13_return_full_context_resolved.png,24.0
