frame,duration_seconds
01_open_crop.png,3.5
02a_repost_velocity_one.png,1.7
02b_repost_velocity_two.png,1.7
02_repost_velocity_stack.png,2.4
03a_hidden_ui_crop_only.png,3.0
03b_reveal_capture_date.png,3.4
03c_reveal_incident_log.png,3.8
03d_reveal_resolution.png,5.5
04_zoomout_capture_reveal.png,34.0
05_incident_resolution_vs_repost.png,14.0
06_oiu_rails_overlay.png,16.0
07_claim_scope_composer.png,11.5
08_was_vs_is_caption_swap.png,10.5
09_dashboard_crop_dip.png,12.0
10_dashboard_range_reveal.png,12.5
11_old_announcement_reveal.png,13.0
12_ten_second_timecheck_workflow.png,18.0
13_return_full_context_resolved.png,14.0
